업종명,인허가일자,업소명,소재지(도로명),소재지(지번),업태명,데이터기준일
일반음식점,2020-02-07,족발시대(비래점),"대전광역시 대덕구 우암로 418, 1층 (비래동)",대전광역시 대덕구 비래동 149-5 ,기타,2024-05-20
일반음식점,2020-02-11,미소패밀리,"대전광역시 대덕구 송촌북로4번길 47-7, 1층 (송촌동)",대전광역시 대덕구 송촌동 474-7 ,호프/통닭,2024-05-20
일반음식점,2020-02-13,제일분식,"대전광역시 대덕구 대전로 1368, 1층 (읍내동)",대전광역시 대덕구 읍내동 344-6 ,분식,2024-05-20
일반음식점,2020-02-17,큰손정육식당,"대전광역시 대덕구 신탄진로681번길 12, 대덕구향군회관 1층 (덕암동)",대전광역시 대덕구 덕암동 48-17 대덕구향군회관 ,한식,2024-05-20
일반음식점,2020-02-18,마루삼겹살,"대전광역시 대덕구 계족산로 35, 1층 (중리동)",대전광역시 대덕구 중리동 118-10 ,한식,2024-05-20
일반음식점,2020-02-25,딜리시어스프라이 중리용전점,"대전광역시 대덕구 중리동로 36-1, 1층 (중리동)",대전광역시 대덕구 중리동 175-16 ,호프/통닭,2024-05-20
일반음식점,2020-02-26,오대륙통닭,"대전광역시 대덕구 대덕대로1470번길 37, 1층 (목상동)",대전광역시 대덕구 목상동 185-6 ,호프/통닭,2024-05-20
일반음식점,2020-02-26,카페굽당,"대전광역시 대덕구 석봉로58번길 73, 1층 (석봉동)",대전광역시 대덕구 석봉동 304 ,기타,2024-05-20
일반음식점,2020-03-02,가자조개전골,"대전광역시 대덕구 중리로 23, 1층 (중리동)",대전광역시 대덕구 중리동 400-8 ,한식,2024-05-20
일반음식점,2020-03-05,목상꽃돼지,"대전광역시 대덕구 대덕대로1470번길 72, 1층 (목상동)",대전광역시 대덕구 목상동 176-2 ,한식,2024-05-20
일반음식점,2020-03-05,게매니아,"대전광역시 대덕구 대덕대로1486번길 134, 1층 (목상동)",대전광역시 대덕구 목상동 858-5 ,한식,2024-05-20
일반음식점,2020-03-09,토속집,"대전광역시 대덕구 계족로574번길 64, 1층 (중리동)","대전광역시 대덕구 중리동 117-12 ,1층 ",한식,2024-05-20
일반음식점,2020-03-09,소담푸드,"대전광역시 대덕구 신일서로 8, 1층 (신일동)",대전광역시 대덕구 신일동 1673-10 ,한식,2024-05-20
일반음식점,2020-03-18,미호,"대전광역시 대덕구 대청로570번길 87, 1층 (미호동)",대전광역시 대덕구 미호동 26-2 ,한식,2024-05-20
일반음식점,2020-03-19,가자맥주,"대전광역시 대덕구 대덕대로1508번길 45, 1층 101호 (목상동)",대전광역시 대덕구 목상동 201-3 ,호프/통닭,2024-05-20
일반음식점,2020-03-20,카페모네2호점,"대전광역시 대덕구 비래골길 56, 1층 (비래동)",대전광역시 대덕구 비래동 405 ,기타,2024-05-20
