r_name,address,소재지지번주소,classification,영업장면적
순남시래기,"서울특별시 서초구 강남대로39길 15-10, 지하1층 103-1호 (서초동, 한라비발디스튜디오193)",서울특별시 서초구 서초동  1363번지 25호  지하1층 103-1호,한식,130.81
청정해참치,"서울특별시 서초구 강남대로 221, (양재동,환승주차장 201호)",서울특별시 서초구 양재동  23번지 0호  환승주차장 201호,일식,39.66
유라 한정식,"서울특별시 서초구 원터길 22, 1층 (원지동)",서울특별시 서초구 원지동  375번지 5호  1층,한식,131.85
부일갈비,"서울특별시 서초구 서초중앙로2길 42, 101호 (서초동)",서울특별시 서초구 서초동  1427번지 6호  -101,한식,263.36
디오디아(DIODIA),"서울특별시 서초구 강남대로 213, 5층 (양재동, 스포타임)",서울특별시 서초구 양재동  24번지  스포타임 5층,뷔페식,1639.55
신박사 콩사랑,"서울특별시 서초구 반포대로23길 30, 1층 (서초동)",서울특별시 서초구 서초동  1503번지 15호  1층,한식,115.5
사랑채,"서울특별시 서초구 언남길 15-6, (양재동,1층)",서울특별시 서초구 양재동  320번지 4호  1층,한식,243.69
소호정,"서울특별시 서초구 논현로 27, (양재동,(1,2층))","서울특별시 서초구 양재동  392번지 11호  (1,2층)",분식,216.29
곤드레집,"서울특별시 서초구 청룡마을1길 1, 1층,2층 (신원동)","서울특별시 서초구 신원동  195번지 16호  1층,2층",한식,155
삼소락,"서울특별시 서초구 방배천로 17, 1층 (방배동, 주건축물제1동)","서울특별시 서초구 방배동  444번지 2호  1층, 주건축물제1동",한식,165.05
방배명가,"서울특별시 서초구 서초대로23길 21, 1층 (방배동)",서울특별시 서초구 방배동  873번지 20호  1층,한식,77.54
우면산,"서울특별시 서초구 효령로2길 5, 1층 (방배동)",서울특별시 서초구 방배동  478번지 5호  1층,한식,42.34
하남돼지집 반포점,"서울특별시 서초구 고무래로8길 4, 1층 (반포동)",서울특별시 서초구 반포동  55번지 7호  1층,경양식,158.4
댓짱돈까스,"서울특별시 서초구 방배중앙로 204, 1층 101호, 102호, 106호 (방배동, 리첸시아방배)","서울특별시 서초구 방배동  755번지 14호  1층, 101호,102호,106호",한식,140.75
마초셰프,"서울특별시 서초구 서초대로25길 8, 1층 (방배동)",서울특별시 서초구 방배동  876번지 19호  1층,경양식,53.69
방배골숯불갈비,"서울특별시 서초구 방배중앙로29길 21, 101호 (방배동)",서울특별시 서초구 방배동  763번지 32호  -101,한식,84
서리풀 명가,"서울특별시 서초구 서초대로25길 16-1, 1층 (방배동)",서울특별시 서초구 방배동  876번지 9호  1층,한식,195.49
방배순대국,"서울특별시 서초구 효령로31길 46, 1층 (방배동)",서울특별시 서초구 방배동  924번지 9호  1층,한식,38.88
서래말 면옥집,"서울특별시 서초구 사평대로26길 47, 2층 (반포동)",서울특별시 서초구 반포동  72번지 10호  2층,한식,165.62
정담남원추어탕,"서울특별시 서초구 방배로15길 14, 1층 (방배동)",서울특별시 서초구 방배동  926번지 27호  1층,한식,89.49
더가든 키친,"서울특별시 서초구 강남대로107길 6, 1동 1층 (잠원동, 더리버사이드호텔 )",서울특별시 서초구 잠원동  6번지 1호 1 더리버사이드호텔 1층(지하 1층?),뷔페식,1839.21
미나토,"서울특별시 서초구 방배로23길 19, 1층 (방배동)",서울특별시 서초구 방배동  935번지 2호  1층,한식,97.68
서래횟집,"서울특별시 서초구 서래로5길 17, 1층 (반포동)",서울특별시 서초구 반포동  104번지 2호  1층,한식,63.2
김영희 강남동태찜 이수점,"서울특별시 서초구 서초대로 3-4, (방배동,방배디오슈페리움 1차 B117~119, B122~126호)","서울특별시 서초구 방배동  3001번지 2호  방배디오슈페리움 1차 B117~119, B122~126호",한식,191.6
수라빔,"서울특별시 서초구 신반포로 176, 1층중층 M8호 (반포동, 센트럴시티)",서울특별시 서초구 반포동  19번지 3호  1층중층 M8호 센트럴시티,한식,118.68
이모 전주콩나물 국밥,"서울특별시 서초구 강남대로99길 9, 2층 (잠원동)",서울특별시 서초구 잠원동  21번지 1호  2층,중국식,170.91
(주)톰볼라,"서울특별시 서초구 서래로7길 16, 1층 101호 (반포동)",서울특별시 서초구 반포동  106번지 8호  1층 101호,경양식,53.2
주미요,"서울특별시 서초구 사평대로18길 5, 위너스빌 1층 (반포동)","서울특별시 서초구 반포동  107번지 9호  1층, 위너스빌",중국식,131.18
들밥 나들이,"서울특별시 서초구 원터길 19, (원지동)",서울특별시 서초구 원지동  414번지 10호  (1층?),한식,120.73
여의도생고기,"서울특별시 서초구 신흥말길 27-9, 1층 (내곡동)",서울특별시 서초구 내곡동  1번지 273호  (지상1층),분식,179.08
수미관,"서울특별시 서초구 서초중앙로2길 38, 1층 (서초동)",서울특별시 서초구 서초동  1427번지 5호  1층,한식,297
경복궁서초점(주)엔타스,"서울특별시 서초구 서초중앙로 195, 3,4층 (반포동)","서울특별시 서초구 반포동  44번지 4호  ~6호 3, 4층",한식,1100.1
